Agency,Index Crime Months,agency_type,population_21,NIBRS Months_21,NIBRS Months_22,agency_name_full,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,County,Historical mean,Historical count
Watertown City PD,12.0,City,24624,12,12,watertown police department,181.0,975.0,0.0,1156.0,-76.053514,43.995371,Jefferson,12.0,19.0
Adams Vg PD,12.0,City,1706,0,0,adams vlg police dept,0.0,3.0,0.0,3.0,-76.053514,43.995371,Jefferson,12.0,18.0
Alexandria Bay Vg PD,12.0,City,1023,0,0,alexandria bay vlg police dept,0.0,3.0,0.0,3.0,-76.053514,43.995371,Jefferson,12.0,19.0
Brownville Vg PD,12.0,City,1076,0,0,brownville village pd brownville,0.0,2.0,0.0,2.0,-76.053514,43.995371,Jefferson,9.157894736842104,19.0
Dexter Vg PD,12.0,City,992,0,0,dexter vlg police dept,0.0,2.0,0.0,2.0,-76.053514,43.995371,Jefferson,11.647058823529411,17.0
Glen Park Vg PD,12.0,City,469,0,0,glen park village rd watertown,0.0,1.0,0.0,1.0,-76.053514,43.995371,Jefferson,12.0,16.0
Cape Vincent Vg PD,12.0,City,689,0,0,cape vincent village police department,0.0,1.0,0.0,1.0,-76.053514,43.995371,Jefferson,12.0,16.0
West Carthage Vg PD,12.0,City,1925,0,0,west carthage police dept,1.0,11.0,0.0,12.0,-76.053514,43.995371,Jefferson,9.933333333333334,15.0
Clayton Vg PD,12.0,City,1816,0,0,clayton village police department,0.0,3.0,0.0,3.0,-76.053514,43.995371,Jefferson,11.944444444444445,18.0
Sackets Harbor Vg PD,12.0,City,1391,0,0,sacketts harbor vlg police dept,0.0,0.0,0.0,0.0,-76.053514,43.995371,Jefferson,12.0,14.0
Black River Vg PD,12.0,City,1229,0,0,black river village pd black river,0.0,3.0,0.0,3.0,-76.053514,43.995371,Jefferson,7.714285714285714,14.0
nan,,City,772,0,0,theresa village pd theresa,0.0,0.0,0.0,0.0,-76.053514,43.995371,,,
Carthage Vg PD,12.0,City,3250,0,0,carthage village police department,4.0,53.0,0.0,57.0,-76.053514,43.995371,Jefferson,12.0,19.0
nan,,Other State Agency,0,0,0,thousand is st pk & rec comm pd alexandria bay,0.0,0.0,0.0,0.0,-76.053514,43.995371,,,
Lewis County Sheriff,12.0,County,22747,12,12,lewis county sheriff's office,3.0,21.0,0.0,24.0,-75.44414,43.782681,Lewis,12.0,19.0
Lowville Vg PD,12.0,City,3297,0,0,lowville village police department,2.0,8.0,0.0,10.0,-75.44414,43.782681,Lewis,12.0,19.0
Livingston County Sheriff,12.0,County,38801,8,10,livingston county sheriff's office,16.0,118.0,0.0,134.0,-77.769779,42.727485,Livingston,12.0,19.0
Avon Vg PD,,City,3272,0,0,avon village police department,0.0,0.0,0.0,0.0,-77.769779,42.727485,Livingston,12.0,16.0
Caledonia Vg PD,,City,2083,0,0,caledonia village police department,0.0,2.0,0.0,2.0,-77.769779,42.727485,Livingston,12.0,18.0
Geneseo Vg PD,12.0,City,8130,0,0,geneseo village police department,1.0,75.0,0.0,76.0,-77.769779,42.727485,Livingston,12.0,19.0
Mount Morris Vg PD,12.0,City,2765,0,0,mount morris village police department,5.0,51.0,0.0,56.0,-77.769779,42.727485,Livingston,12.0,19.0
Dansville Vg PD,12.0,City,4341,0,0,dansville village police department,2.0,53.0,0.0,55.0,-77.769779,42.727485,Livingston,11.736842105263158,19.0
Nunda Town and Vg PD,,City,2871,0,0,nunda town & village police department,0.0,0.0,0.0,0.0,-77.769779,42.727485,Livingston,11.529411764705882,17.0
Madison County Sheriff,12.0,County,43099,0,0,madison county sheriff's office,20.0,100.0,1.0,120.0,-75.663575,42.910026,Madison,12.0,19.0
Oneida City PD,12.0,City,10849,0,12,oneida police department,67.0,481.0,1.0,548.0,-75.663575,42.910026,Madison,12.0,19.0
Oneida County Sheriff,12.0,County,78748,12,12,oneida county sheriff's office,47.0,,1.0,,-75.434282,43.242727,Oneida,12.0,19.0
Cazenovia Vg PD,12.0,City,2851,0,0,cazenovia village police department,2.0,20.0,0.0,22.0,-75.663575,42.910026,Madison,12.0,19.0
Hamilton Vg PD,12.0,City,4077,0,0,hamilton village police department,0.0,5.0,0.0,5.0,-75.663575,42.910026,Madison,11.894736842105264,19.0
Canastota Vg PD,12.0,City,4518,0,0,canastota village police department,6.0,35.0,0.0,41.0,-75.663575,42.910026,Madison,9.31578947368421,19.0
Chittenango Vg PD,5.0,City,4826,0,0,chittenango village police department,3.0,19.0,0.0,22.0,-75.663575,42.910026,Madison,12.0,19.0
Monroe County Sheriff,12.0,County,236185,12,12,monroe county sheriff's office,134.0,2018.0,0.0,2152.0,-77.664656,43.464475,Monroe,12.0,19.0
Rochester City PD,12.0,City,205199,0,12,rochester police department,1680.0,7039.0,48.0,8719.0,-77.664656,43.464475,Monroe,12.0,19.0
Irondequoit Town PD,12.0,City,49889,10,11,irondequoit town police department,0.0,0.0,0.0,0.0,-77.664656,43.464475,Monroe,12.0,19.0
East Rochester Vg PD,12.0,City,6476,12,12,east rochester village police department,7.0,72.0,0.0,79.0,-77.664656,43.464475,Monroe,12.0,19.0
Fairport Vg PD,12.0,City,5300,12,12,fairport village police department,2.0,28.0,0.0,30.0,-77.664656,43.464475,Monroe,12.0,19.0
Brockport Vg PD,12.0,City,8142,12,12,brockport village police department,10.0,52.0,0.0,62.0,-77.664656,43.464475,Monroe,12.0,19.0
