agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info
City,36075,central square vlg police dept,1740,0,0,0,0,40,0,40,-76.209258,43.461443,
City,36075,pulaski village police department,2211,0,0,0,0,29,0,29,-76.209258,43.461443,
City,36075,phoenix vlg police dept,2226,0,0,0,3,7,0,10,-76.209258,43.461443,
County,36077,otsego county sheriff's office,43171,0,1,8,7,15,0,22,-75.028841,42.629776,
City,36077,oneonta police department,13904,11,1,12,19,175,0,194,-75.028841,42.629776,
City,36077,cooperstown village police department,1743,0,0,0,0,1,0,1,-75.028841,42.629776,
County,36079,putnam county sheriff's office,46063,0,0,0,12,117,0,129,-73.743882,41.427904,
City,36079,cold spring vlg police dept,1940,0,0,0,0,12,0,12,-73.743882,41.427904,
City,36079,brewster village pd brewster,2329,0,0,0,2,9,0,11,-73.743882,41.427904,
City,36079,carmel town police department,34093,10,1,12,5,113,0,118,-73.743882,41.427904,
City,36079,kent town police department,13123,0,0,0,1,38,0,39,-73.743882,41.427904,
County,36083,rensselaer county sheriff's office,54944,0,0,0,20,147,0,167,-73.513845,42.710421,
