agency_type,FIPS,agency_name_full,population_21,months_reported_in_21,is_nibrs_2022,months_reported_in_22,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,longitude,latitude,Info,County
City,36095,schoharie village pd schoharie,806,0,0,0,0,4,0,4,-74.3112254,42.6642037,,Schoharie
County,36097,schuyler county sheriff's office,15763,0,0,0,6,10,0,16,-76.8705473,42.3766269,,Schuyler
City,36097,watkins glen village police department,1874,0,0,0,0,7,0,7,-76.8732921,42.3806287,,Schuyler
County,36099,seneca county sheriff's office,19652,12,1,11,7,81,0,88,-76.8283,42.7197,,Seneca
City,36099,seneca falls town,8573,12,1,12,15,163,0,178,-76.7966215,42.9106219,,Seneca
City,36099,interlaken vlg police dept,598,0,0,0,0,0,0,0,-76.724572,42.618671,,Seneca
City,36099,waterloo vlg police dept,4842,12,1,11,10,35,1,45,-76.8650293,42.9043882,,Seneca
County,36101,steuben county sheriff's office,58880,0,1,9,10,76,0,86,-77.2953209,42.3495372,,Steuben
City,36101,corning police department,10469,0,0,0,33,274,1,307,-77.04733,42.14159,,Steuben
City,36101,hornell police department,8272,0,0,0,0,0,0,0,-77.6611025,42.3278477,,Steuben
City,36101,addison village police department,2458,0,0,0,6,7,0,13,-77.23757,42.103628,,Steuben
City,36101,bath village police department,5438,0,0,0,2,44,0,46,-77.317328,42.3357929,,Steuben
City,36101,canisteo vlg police dept,2120,0,0,0,1,4,0,5,-77.6058225,42.2703487,,Steuben
City,36101,cohocton town police dept,2435,0,0,0,0,3,0,3,-77.5072102,42.5022907,,Steuben
City,36101,painted post village police department,1939,0,0,0,1,2,0,3,-77.0941366,42.1620186,,Steuben
City,36101,hammondsport village police department,618,0,0,0,0,16,0,16,-77.2235873,42.4078495,,Steuben
City,36101,wayland village police department,1753,0,0,0,0,3,0,3,-77.591761,42.568122,,Steuben
County,36103,suffolk county sheriff's office,0,0,0,0,18,0,0,18,-72.6151169,40.9848784,,Suffolk
County,36103,suffolk county police department,1303112,0,0,0,1118,14966,30,16084,-72.6151169,40.9848784,,Suffolk
City,36103,amityville village police department,9387,0,0,0,5,61,2,66,-73.4170673,40.6789893,,Suffolk
City,36103,sag harbor village police department,2296,0,0,0,0,0,0,0,-72.2925819,40.9978773,,Suffolk
City,36103,northport village police department,7258,0,0,0,0,2,0,2,-73.3474691,40.9005559,,Suffolk
City,36103,southampton village police department,3330,0,0,0,0,45,0,45,-72.393649,40.887693,,Suffolk
City,36103,east hampton village police department,1140,0,0,0,1,23,0,24,-72.18281,40.969376,,Suffolk
City,36103,ocean beach village police dept,83,0,0,0,0,9,0,9,-73.1566,40.6492,,Suffolk
City,36103,huntington bay village police department,1436,0,0,0,0,7,0,7,-73.4148418,40.8998203,,Suffolk
City,36103,lloyd harbor village police department,3655,0,0,0,2,12,0,14,-73.4598432,40.9034315,,Suffolk
City,36103,quogue village police department,1019,0,0,0,1,31,0,32,-72.6090335,40.8180969,,Suffolk
City,36103,westhampton beach village police department,1806,0,0,0,0,24,0,24,-72.6458277,40.8093799,,Suffolk
City,36103,nissequogue village police department,1730,0,0,0,0,10,0,10,-73.1978899,40.9039869,,Suffolk
City,36103,asharoken village police department,644,0,0,0,0,1,0,1,-73.3598395,40.9278757,,Suffolk
City,36103,head of the harbor vlg pd,1455,0,0,0,0,0,0,0,-73.1578885,40.9034315,,Suffolk
